GLD_delta,GLD_pre,QQQ->TQQQ_delta,QQQ->TQQQ_pre,XLE->XLE_delta,XLE->XLE_pre,XLV->XLV_delta,XLV->XLV_pre,date,total_equity
21911.08,909631.7,-125988.71,13400473.39,58283.47,2419620.33,45794.16,1901130.26,2022-05-02,18630855.68
5506.66,924031.64,-31663.27,13277583.98,14647.7,2457924.16,11508.91,1931226.13,2022-06-01,18590765.91
15490.87,908435.73,-89072.51,13255026.57,41205.72,2416439.04,32375.92,1898630.68,2022-07-01,18478532.03
13203.8,905867.44,-75921.84,13172686.95,35122.1,2409607.38,27595.94,1893262.94,2022-08-01,18381424.71
26982.43,879196.36,-210728.5,13123776.29,71773.26,2338662.33,111972.81,1781940.87,2022-09-01,18123575.85
-1264.32,909393.21,7269.82,12933566.91,-3363.08,2418985.94,-2642.42,1900631.81,2022-10-03,18162577.87
21554.03,879640.6,-123935.67,12965959.12,57333.72,2339843.99,45047.92,1838448.85,2022-11-01,18023892.56
-58057.89,985641.25,333832.87,12884230.03,-154433.99,2621805.73,-121340.99,2059990.21,2022-12-01,18551667.23
-10353.26,945378.99,59531.25,13264585.4,-27539.67,2514708.11,-21638.32,1975842.09,2023-01-03,18700514.6
4428.74,993020.72,-45121.31,14258776.11,11780.45,2641435.11,28912.13,2055757.24,2023-02-01,19948989.18
-35245.23,937548.69,275862.47,12581961.74,-93752.32,2493879.5,-146864.92,2032679.14,2023-03-01,18046069.07
145644.88,975117.59,-837458.08,16808323.29,387415.39,2593812.78,304397.81,2037995.76,2023-04-03,22415249.42
6316.76,1117300.7,-21924.58,16033473.44,16802.58,2972019.87,-1194.76,2349555.26,2023-05-01,22472349.28
219897.98,1122334.87,-1340995.14,20467813.2,584928.63,2985410.74,536168.53,2269098.12,2023-06-01,26844656.92
170752.68,1303593.25,-985878.56,21995308.12,454202.13,3467558.05,360923.74,2720459.26,2023-07-03,29486918.68
81609.58,1490785.38,-475709.84,22882338.0,217081.47,3965489.12,177018.79,3109286.67,2023-08-01,31447899.17
-63892.65,1569345.32,376713.66,21075986.8,-169954.46,4174458.54,-142866.54,3289262.61,2023-09-01,30109053.27
-83966.86,1418022.57,444712.94,18565580.89,-223351.84,3771940.03,-137394.24,2925570.67,2023-10-02,26681114.16
-129782.8,1443044.87,746251.11,17967733.41,-345222.25,3838499.37,-271246.06,3015963.79,2023-11-01,26265241.44
221869.0,1374091.06,-1275746.76,24018177.63,590171.54,3655082.22,463706.21,2871850.32,2023-12-01,31919201.23
115644.3,1585237.76,-613178.09,24850747.5,307613.84,4216732.45,189919.95,3364923.56,2024-01-02,34017641.27
167034.63,1698117.42,-867067.87,27445484.52,444312.11,4516992.33,255721.13,3642446.65,2024-02-01,37303040.91
196259.54,1889444.77,-1065773.5,30787059.87,522050.38,5025923.08,347463.58,4011658.42,2024-03-01,41714086.14
-150111.65,2247141.22,616471.51,29266199.75,-470402.71,6048501.34,4042.86,4378748.93,2024-04-01,41940591.24
-324494.26,2157270.47,1222813.87,24894247.22,-522276.05,5397460.79,-376043.56,4206545.85,2024-05-01,36655524.34
266373.26,1862180.88,-1626060.08,31957956.48,854043.94,4807910.06,505642.89,3943035.25,2024-06-03,42571082.67
83019.17,2112385.67,-303221.09,31587739.99,104706.62,5735070.24,115495.29,4472900.81,2024-07-01,43908096.7
9178.62,2299283.53,-378412.4,33273997.94,330182.79,5810326.51,39051.0,4785634.88,2024-08-01,46169242.86
5207.03,2354678.42,-217750.18,33846117.77,172418.96,6104876.33,40124.19,4892036.39,2024-09-03,47197708.91
-93653.17,2516876.39,538505.73,33992425.16,-249117.43,6694891.2,-195735.13,5260271.66,2024-10-01,48464464.41
-176953.1,2490904.96,1017480.34,31956333.57,-470695.25,6625807.19,-369831.99,5205991.36,2024-11-01,46279037.08
119873.12,2231189.6,-689270.44,34191914.25,318862.5,5934964.35,250534.82,4663186.27,2024-12-02,47021254.47
-119974.9,2370184.91,689855.65,31375637.0,-319133.22,6304691.85,-250747.53,4953686.45,2025-01-02,45004200.21
-78294.43,2383341.17,450192.98,32396723.07,-208263.19,6339687.51,-163635.36,4981183.05,2025-02-03,46100934.8
44618.27,2365346.49,-256555.07,34598553.0,118684.61,6291821.67,93252.19,4943574.17,2025-03-03,48199295.34
-169723.84,2598161.39,542076.86,34063158.12,-451465.42,6911109.29,79112.41,4996322.05,2025-04-01,48568750.84
-106288.42,2511955.46,611158.39,33669596.98,-282727.18,6681801.52,-222142.79,5249986.91,2025-05-01,48113340.87
-105249.76,2520588.47,605186.12,33813390.54,-279964.36,6704765.34,-219972.0,5268029.91,2025-06-02,48306774.26
251206.42,2383410.08,-1444436.93,38987722.15,668209.08,6339870.83,525021.42,4981327.08,2025-07-01,52692330.14
37585.22,2647980.19,-216115.04,38485422.24,99976.7,7043627.31,78553.12,5534278.6,2025-08-01,53711308.35
-10007.39,2828744.6,-22263.35,40189268.67,53186.17,7444654.82,-20915.44,5912076.22,2025-09-02,56374744.31
182232.92,3082266.07,-1895419.18,48414529.79,1220333.76,7463233.55,492852.49,6329950.4,2025-10-01,65289979.81
184001.0,3381405.89,-1683353.86,52490402.04,917059.8,8566922.53,582293.06,6869407.34,2025-11-03,71308137.8
-366959.37,3768147.23,2048376.05,46418550.96,-779001.63,9826161.34,-902415.06,8010897.69,2025-12-01,68023757.21
-128080.0,3475625.66,686494.47,47016031.15,-405916.21,9310387.66,-152498.25,7148868.68,2026-01-02,66950913.15
-72411.64,3590030.07,-82326.37,50208388.95,-192614.97,9549479.99,347352.98,7004469.53,2026-02-02,70352368.54
-661934.9,4035382.74,2858105.2,45213526.51,-1760746.83,10734118.09,-435423.47,7485929.45,2026-03-02,67468956.79
62875.5,3014210.07,1426.73,43847042.62,167248.83,8017798.78,-231551.07,6662659.9,2026-04-01,61541711.37
792750.39,2974192.75,-4558314.76,58237254.58,2108716.04,7911352.72,1656848.32,6216062.85,2026-05-01,75338862.9
