date,equity,QQQ->TQQQ_eq,QQQ->TQQQ_state,XLE->XLE_eq,XLE->XLE_state,XLV->XLV_eq,XLV->XLV_state,safety_gld,vix,vix_sma
2000-12-04,103307.94,73583.58,cash,13735.6,cash,10792.26,cash,5196.49,27.78,26.87
2000-12-05,103307.88,73595.04,cash,13737.74,cash,10793.94,cash,5181.16,24.99,26.89
2000-12-06,103411.31,73606.49,cash,13739.88,cash,10795.62,cash,5269.32,25.07,26.9
2000-12-07,103403.59,73617.95,cash,13742.02,cash,10797.3,cash,5246.32,25.34,26.89
2000-12-08,103399.7,73629.41,cash,13744.16,cash,10798.98,cash,5227.16,22.41,26.65
2000-12-11,103372.82,73640.87,cash,13746.3,cash,10800.66,cash,5185.0,23.51,26.4
2000-12-12,103403.43,73652.33,cash,13748.43,cash,10802.34,cash,5200.33,24.88,26.19
2000-12-13,103377.51,73663.79,cash,13750.57,cash,10804.02,cash,5159.12,23.63,26.03
2000-12-14,103403.34,73675.26,cash,13752.71,cash,10805.7,cash,5169.66,24.86,25.96
2000-12-15,103440.67,73686.73,cash,13754.86,cash,10807.39,cash,5191.7,26.55,26.04
2000-12-18,103443.51,73698.2,cash,13757.0,cash,10809.07,cash,5179.25,27.7,26.18
2000-12-19,103458.8,73709.67,cash,13759.14,cash,10810.75,cash,5179.25,27.17,26.17
2000-12-20,103539.26,73721.14,cash,13761.28,cash,10812.43,cash,5244.41,31.74,26.43
2000-12-21,103566.06,73732.61,cash,13763.42,cash,10814.12,cash,5255.91,29.66,26.52
2000-12-22,103575.61,73744.09,cash,13765.56,cash,10815.8,cash,5250.16,27.55,26.6
2000-12-26,103615.8,73767.05,cash,13769.85,cash,10819.17,cash,5259.74,28.73,26.69
2000-12-27,103652.19,73778.53,cash,13771.99,cash,10820.85,cash,5280.82,28.14,26.72
2000-12-28,103610.01,73790.01,cash,13774.14,cash,10822.54,cash,5223.33,26.57,26.67
2000-12-29,103622.45,73801.5,cash,13776.28,cash,10824.22,cash,5220.45,26.85,26.53
2001-01-02,103585.05,73804.35,cash,13776.81,cash,10824.64,cash,5179.25,29.99,26.66
2001-01-03,103596.51,73815.84,cash,13778.96,cash,10826.32,cash,5175.4,26.6,26.6
2001-01-04,103590.64,73827.33,cash,13781.1,cash,10828.01,cash,5154.21,26.97,26.7
2001-01-05,103616.56,73838.82,cash,13783.25,cash,10829.69,cash,5164.8,28.67,26.88
2001-01-08,103638.63,73850.31,cash,13785.39,cash,10831.38,cash,5171.55,29.84,27.1
2001-01-09,103642.39,73861.8,cash,13787.54,cash,10833.06,cash,5159.99,27.99,27.38
2001-01-10,103598.97,73873.3,cash,13789.68,cash,10834.75,cash,5101.23,26.8,27.54
2001-01-11,103601.78,73884.8,cash,13791.83,cash,10836.44,cash,5088.71,25.79,27.59
2001-01-12,103619.04,73896.3,cash,13793.98,cash,10838.12,cash,5090.64,24.56,27.64
2001-01-16,103636.23,73919.31,cash,13798.27,cash,10841.5,cash,5077.15,25.28,27.66
2001-01-17,103654.46,73930.81,cash,13800.42,cash,10843.19,cash,5080.04,24.93,27.58
2001-01-18,103695.81,73942.32,cash,13802.57,cash,10844.87,cash,5106.05,23.37,27.36
2001-01-19,103707.3,73953.83,cash,13804.71,cash,10846.56,cash,5102.19,23.24,27.16
2001-01-22,103763.1,73965.34,cash,13806.86,cash,10848.25,cash,5142.65,23.25,26.74
2001-01-23,103770.75,73976.85,cash,13809.01,cash,10849.94,cash,5134.94,21.57,26.33
2001-01-24,103755.28,73988.37,cash,13811.16,cash,10851.63,cash,5104.12,22.03,26.06
2001-01-25,103770.63,73999.88,cash,13813.31,cash,10853.32,cash,5104.12,22.64,25.75
2001-01-26,103749.39,74011.4,cash,13815.46,cash,10855.01,cash,5067.52,22.57,25.48
2001-01-29,103766.67,74022.92,cash,13817.61,cash,10856.69,cash,5069.45,22.61,25.28
2001-01-30,103834.05,74034.44,cash,13819.76,cash,10858.38,cash,5121.46,22.57,25.06
2001-01-31,103849.41,74045.97,cash,13821.91,cash,10860.07,cash,5121.46,22.02,24.67
2001-02-01,103918.72,74042.09,cash,13821.19,cash,10859.51,cash,5195.94,21.66,24.42
2001-02-02,103911.84,74053.61,cash,13823.34,cash,10861.2,cash,5173.69,21.95,24.17
2001-02-05,103889.5,74065.14,cash,13825.49,cash,10862.89,cash,5135.98,22.19,23.84
